bpolicyc,fec_effec,fec_exp,uso_veh,tipo_veh,edad_asegurado,canal,prima_mensual_uf,deducible,asegurado_es_contratante,sucursal,intermediario,pol_colectiva,asegurado_empresa,contratante_empresa
74-811694-0,2025-02-14 00:00:00.000,2026-02-14 00:00:00.000,Comercial,Automóvil,54,CORREDORES,0.0007802083105022,0,1,Valdivia Dealer,3521,1,1,1
83-74967-0,2024-11-01 00:00:00.000,2025-11-01 00:00:00.000,Otros usos comerciales distint,Camioneta,Empresa,,9.1521461187e-06,0,0,BancoEstado,6978,0,1,1
69-505775-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Escuela de Conductores,Station Wagon,64,CORREDORES,0.00114200913242,5,0,Banca Seguros,6953,0,0,1
3-558351-12,2025-07-31 00:00:00.000,2026-07-31 00:00:00.000,Comercial,Camioneta,Empresa,,0.0017954337899543,10,1,Valdivia Dealer,2728,1,1,1
74-811694-0,2024-10-04 00:00:00.000,2024-05-23 00:00:00.000,Escuela de Conductores,Station Wagon,47,DIRECTO,0.0014027397260273,10,1,HDI.CL,9311,0,0,0
3-502381-0,2024-07-05 00:00:00.000,2025-07-05 00:00:00.000,Particular,Automóvil,52,CORREDORES,0.002409636391757822,15,1,HDI Santiago,7789,0,0,0
85-95970-4,2025-10-30 00:00:00.000,2026-10-30 00:00:00.000,Comercial,Mini Bus,54,CORREDORES,0.0033735159817351,10,1,Corporate,2464,1,1,1
74-811694-0,2024-12-16 00:00:00.000,2025-12-16 00:00:00.000,Particular,Automóvil,37,DEALERS,0.0013442922374429,3,0,Valdivia Dealer,2850,0,0,1
74-811694-0,2025-06-03 00:00:00.000,2027-06-03 00:00:00.000,Particular,Camioneta,32,DIRECTO,0.0021515981735159,15,1,HDI.CL,1080,0,0,0
95-378693-0,2025-02-17 00:00:00.000,2024-05-23 00:00:00.000,Particular,Motocicleta,71,DEALERS,0.0022237442922374,10,1,Valdivia Dealer,8521,0,0,0
96-496269-0,2024-12-18 00:00:00.000,2025-12-18 00:00:00.000,Particular,Station Wagon,45,DEALERS,0.0026054794520547,12,1,Casa Matriz Santiago Dealer,8650,0,0,0
69-544999-0,2024-08-03 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,67,DEALERS,0.0012374429223744,3,0,CM Falabella,2457,0,0,1
69-563810-0,2024-11-01 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,62,MASIVO,0.001269406392694,8,0,CM Falabella,2457,0,0,1
85-92138-40,2025-08-13 00:00:00.000,2027-08-13 00:00:00.000,Comercial,Bus,Empresa,DEALERS,0.0008570776255707,0,1,Valdivia Dealer,2229,1,1,1
95-387799-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Particular,Camioneta,Empresa,DEALERS,0.001483105022831,10,0,Valdivia Dealer,6819,0,1,0
3-579384-0,2025-11-13 00:00:00.000,2026-11-13 00:00:00.000,Escuela de Conductores,Station Wagon,43,CORREDORES,0.0004962508227318724,0,1,Rancagua,6698,0,0,0
74-811694-0,2026-03-10 00:00:00.000,2028-03-10 00:00:00.000,Particular,Station Wagon,41,DEALERS,0.0015649794801641,10,1,Casa Matriz Santiago Dealer,3510,0,0,0
3-535402-54,2025-01-30 00:00:00.000,2024-05-23 00:00:00.000,Comercial,Mini Bus,54,DEALERS,0.0038888888888888,5,1,Partners,2253,1,1,1
96-499752-0,2025-04-15 00:00:00.000,2026-12-31 00:00:00.000,Particular,Station Wagon,48,DEALERS,0.0019182648401826,15,1,Casa Matriz Santiago Dealer,6973,0,0,0
85-78790-2,2024-09-06 00:00:00.000,2025-09-06 00:00:00.000,Comercial,Camión,Empresa,CORREDORES,0.0028401826484018,0,1,Valdivia Dealer,2464,1,1,1
69-587563-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Otros usos comerciales distint,Automóvil,47,DEALERS,0.0010958904109589,3,0,Valdivia Dealer,2457,0,0,1
90-425674-0,2024-09-16 00:00:00.000,2026-09-16 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0010397035159817,10,1,Casa Matriz Santiago Dealer,8694,0,0,0
74-740537-0,2025-04-15 00:00:00.000,2025-11-09 00:00:00.000,Particular,Moto,54,CORREDORES,0.0010356164383561,0,1,Valdivia Dealer,5454,0,0,0
74-811694-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Particular,Furgón,61,DEALERS,0.0015780821917808,-5,1,Valdivia Dealer,8518,0,0,0
114-20617-0,2025-04-15 00:00:00.000,2027-01-29 00:00:00.000,Otros usos comerciales distint,Station Wagon,37,DEALERS,0.0017470319634703,3,1,Casa Matriz Santiago Dealer,2206,0,0,0
3-544384-0,2025-04-09 00:00:00.000,2024-05-23 00:00:00.000,Otros usos comerciales distint,Camioneta,Empresa,CORREDORES,0.001304109589041,10,1,Viña del Mar,3208,0,1,1
96-493549-0,2024-12-20 00:00:00.000,2025-12-20 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0024200913242009,10,1,Casa Matriz Santiago Dealer,2206,0,0,0
3-506876-0,2024-06-30 00:00:00.000,2025-06-30 00:00:00.000,Particular,Camioneta,Empresa,CORREDORES,0.0014374429223744,10,1,La Serena,5518,0,1,1
74-811694-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,39,CORREDORES,0.0009470319634703,3,1,Partners,2059,1,0,0
95-388754-0,2025-06-13 00:00:00.000,2026-06-13 00:00:00.000,Particular,Station Wagon,57,DEALERS,0.0016054794520547,3,1,Casa Matriz Santiago Dealer,8559,0,0,0
3-524135-0,2024-12-01 00:00:00.000,2025-12-01 00:00:00.000,Particular,Mini Bus,80,CORREDORES,0.0021141552511415,5,1,Valdivia Dealer,2464,0,0,0
74-752631-0,2024-12-25 00:00:00.000,2024-05-23 00:00:00.000,Particular,Mini Bus,35,DIRECTO,0.0014335258447488,-18,1,Valdivia Dealer,8414,0,0,0
3-501116-0,2024-05-30 00:00:00.000,2024-05-23 00:00:00.000,Particular,Mini Bus,29,CORREDORES,0.0006564702458471484,5,0,Valdivia Dealer,7166,0,0,0
74-811267-0,2025-10-13 00:00:00.000,2027-10-13 00:00:00.000,Escuela de Conductores,Station Wagon,42,DIRECTO,0.001524892739726,10,1,HDI.CL,8414,0,0,0
90-491308-0,2026-03-04 00:00:00.000,2027-03-04 00:00:00.000,Particular,Automóvil,39,DEALERS,0.0009093123287671,5,1,Casa Matriz Santiago Dealer,8523,0,0,0
69-578968-0,2024-12-20 00:00:00.000,2027-12-20 00:00:00.000,Particular,Automóvil,40,DEALERS,0.0019179850380494517,11,1,Banca Seguros,2446,0,0,0
74-811694-0,2025-10-06 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,67,DEALERS,0.0013707762557077,10,1,Casa Matriz Santiago Dealer,9107,0,0,0
83-66201-0,2024-09-27 00:00:00.000,2024-05-23 00:00:00.000,Particular,Automóvil,72,,0.0012219178082191,10,1,BancoEstado,7674,0,0,0
69-498260-0,2025-04-15 00:00:00.000,2025-02-14 00:00:00.000,Particular,Station Wagon,54,CORREDORES,0.0023369763205828,0,1,Valdivia Dealer,2556,0,0,0
85-91572-2,2025-06-23 00:00:00.000,2026-06-30 00:00:00.000,Transporte de Carga,Remolque,Empresa,CORREDORES,0.0004068100358422,0,1,Osorno,6597,1,1,1
69-670648-0,2025-08-27 00:00:00.000,2026-08-27 00:00:00.000,Particular,Automóvil,73,DEALERS,0.0008639269406392,15,0,CM Falabella,1938,0,0,1
3-584643-0,2025-04-15 00:00:00.000,2026-12-09 00:00:00.000,Particular,Mini Bus,69,CORREDORES,0.0011351598173515,3,1,Valdivia Dealer,6854,0,0,0
74-811694-0,2025-05-22 00:00:00.000,2026-05-22 00:00:00.000,Particular,Station Wagon,47,DIRECTO,0.0011579908675799,3,0,HDI.CL,1080,0,0,0
3-534814-994,2025-08-26 00:00:00.000,2024-05-23 00:00:00.000,Escuela de Conductores,Mini Bus,Empresa,DEALERS,0.0002738107763650175,10,0,Partners,5183,1,1,1
95-347305-0,2024-03-15 00:00:00.000,2026-03-15 00:00:00.000,Otros usos comerciales distint,Station Wagon,Empresa,DEALERS,0.0020004566210045,10,1,Casa Matriz Santiago Dealer,5919,0,1,1
85-78005-0,2024-07-17 00:00:00.000,2026-05-20 00:00:00.000,Otros usos comerciales distint,Camión,Empresa,CORREDORES,0.0002018264880952,-5,1,Corporate,2639,0,1,1
69-548270-0,2024-09-07 00:00:00.000,2025-09-07 01:00:00.000,Particular,Mini Bus,67,MASIVO,0.0012255707762557,3,0,CM Falabella,3112,0,0,1
91-79494-0,2026-03-02 00:00:00.000,2024-05-23 00:00:00.000,Otros usos comerciales distint,Furgón,Empresa,DEALERS,0.0015122446486348134,20,0,Casa Matriz Santiago Dealer,7381,0,1,0
74-698884-0,2025-04-15 00:00:00.000,2025-03-29 00:00:00.000,Particular,Automóvil,59,DEALERS,0.0010913242009132,10,1,HDI.CL,8775,0,0,0
69-733483-0,2026-02-19 00:00:00.000,2027-02-19 00:00:00.000,Particular,Station Wagon,72,CORREDORES,0.0012356164383561,5,1,Banca Seguros,2556,0,0,0
74-811694-0,2025-04-15 00:00:00.000,2026-06-25 00:00:00.000,Escuela de Conductores,Station Wagon,33,,0.0010630136986301,3,1,BancoEstado,6872,0,0,0
74-788452-0,2025-06-23 00:00:00.000,2027-06-23 00:00:00.000,Particular,Station Wagon,31,DIRECTO,0.0008136986301369,0,1,Valdivia Dealer,1080,0,0,0
96-562484-0,2025-12-14 00:00:00.000,2024-05-23 00:00:00.000,Otros usos comerciales distint,Camioneta,54,DEALERS,0.002883105022831,2,1,Casa Matriz Santiago Dealer,2206,0,0,0
90-484447-0,2026-01-02 00:00:00.000,2028-01-02 00:00:00.000,Particular,Mini Bus,36,DEALERS,0.0014570776255707,10,1,Rancagua Dealer,8523,0,0,0
96-492043-0,2024-11-28 00:00:00.000,2026-11-28 00:00:00.000,Particular,Automóvil,73,DEALERS,0.0012301369863013,3,1,Temuco Dealer,8650,0,0,0
74-704809-0,2024-05-31 00:00:00.000,2025-05-31 00:00:00.000,Particular,Station Wagon,69,DIRECTO,0.0010312115485459723,5,0,HDI.CL,6082,0,0,0
96-490859-0,2024-11-09 00:00:00.000,2025-11-09 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0009990867579908,10,1,Osorno Dealer,2206,0,0,0
69-591259-0,2025-02-04 00:00:00.000,2024-05-23 00:00:00.000,Particular,Automóvil,35,DEALERS,0.0010334782952815,-13,1,Banca Seguros,2446,0,0,0
90-453845-0,2025-04-15 00:00:00.000,2026-05-20 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0019187214611872,7,1,Casa Matriz Santiago Dealer,8614,0,0,0
74-818571-0,2025-12-31 00:00:00.000,2026-12-31 00:00:00.000,Particular,Station Wagon,50,DIRECTO,0.001955375067162136,5,1,HDI.CL,8414,0,0,0
74-811694-0,2025-04-15 00:00:00.000,2026-06-17 00:00:00.000,Particular,Mini Bus,50,MASIVO,0.0011881278538812,5,0,Valdivia Dealer,5336,0,0,1
69-573259-0,2024-12-27 00:00:00.000,2025-12-27 00:00:00.000,Particular,Automóvil,51,MASIVO,0.001448401826484,4,0,Valdivia Dealer,1637,0,0,1
85-92267-212,2025-07-31 00:00:00.000,2026-07-31 00:00:00.000,Comercial,Semi Remolque,Empresa,DEALERS,3.37899543378e-05,0,1,Advance,5356,1,1,1
96-519739-0,2025-05-23 00:00:00.000,2026-05-23 00:00:00.000,Escuela de Conductores,Mini Bus,35,DEALERS,0.0025497716894977,5,1,Casa Matriz Santiago Dealer,7381,0,0,0
69-667998-0,2025-08-13 00:00:00.000,2026-08-13 00:00:00.000,Particular,Automóvil,35,MASIVO,0.0012374429223744,3,0,CM Falabella,2457,0,0,1
83-52249-0,2024-03-01 00:00:00.000,2025-03-01 00:00:00.000,Otros usos comerciales distint,Bus,Empresa,,-0.00031796258446319635,0,0,BancoEstado,6978,0,1,1
